DateTime,AVGPD/A048W,DOMPD/A048W,WVHGT/A048W,WWHGT/A048W,WWPD/A048W,,,,,,,,
11/14/2018 2340,6.41,8.33,2.86,2.55,8.3,,,,,,,,
11/15/2018 0040,6.61,9.09,3.08,2.49,6.2,,,,,,,,
11/15/2018 0140,6.2,8.33,2.79,2.21,6.2,,,,,,,,
11/15/2018 0240,6.33,9.09,2.8,2.34,7.1,,,,,,,,
11/15/2018 0340,6.27,8.33,2.69,1.94,6.7,,,,,,,,
11/15/2018 0440,6.43,9.09,2.81,2.32,7.1,,,,,,,,
11/15/2018 0540,6.41,8.33,2.74,2.37,8.3,,,,,,,,
11/15/2018 0640,6.63,9.09,2.91,2.02,6.7,,,,,,,,
11/15/2018 0740,6.41,8.33,2.77,2.35,8.3,,,,,,,,
11/15/2018 0840,6.5,8.33,2.73,2.35,8.3,,,,,,,,
11/15/2018 0940,6.73,9.09,3.03,2.34,6.2,,,,,,,,
11/15/2018 1040,6.59,9.09,2.84,1.81,6.7,,,,,,,,
11/15/2018 1140,6.71,8.33,2.81,2.81,8.3,,,,,,,,
11/15/2018 1240,6.46,9.09,2.75,2.23,7.1,,,,,,,,
11/15/2018 1340,6.51,8.33,2.69,2.69,8.3,,,,,,,,
11/15/2018 1440,6.44,7.69,2.82,2.82,7.7,,,,,,,,
11/15/2018 1540,6.42,8.33,2.74,2.74,8.3,,,,,,,,
11/15/2018 1640,6.55,10,2.8,2.27,8.3,,,,,,,,
11/15/2018 1740,6.48,10.81,2.99,2.38,7.7,,,,,,,,
11/15/2018 1840,6.8,10,3.26,3.08,10,,,,,,,,
11/15/2018 1940,6.39,10,2.81,2.4,6.7,,,,,,,,
11/15/2018 2040,6.86,10,3.31,2.72,8.3,,,,,,,,
11/15/2018 2140,6.51,7.69,3.37,3.37,7.7,,,,,,,,
11/15/2018 2240,6.31,7.69,3.05,3.05,7.7,,,,,,,,
11/15/2018 2340,6.42,7.14,3.23,3.14,7.1,,,,,,,,
11/16/2018 0040,6.33,7.14,3.31,3.31,7.1,,,,,,,,
11/16/2018 0140,6.53,7.69,3.51,3.45,7.7,,,,,,,,
11/16/2018 0240,6.54,7.69,3.69,3.63,7.7,,,,,,,,
