DateTime,WSPD1/A001E,WSPD11/A001E,WSPD12/A001E,WDIR1/A001E,,,,,,
03/13/2016 1150,7.6,8.48,9.22,236,,,,,,
03/13/2016 1200,7.7,8.59,9.34,240,,,,,,
03/13/2016 1210,7.9,8.82,9.58,235,,,,,,
03/13/2016 1220,7.6,8.48,9.22,232,,,,,,
03/13/2016 1230,7.2,8.04,8.73,233,,,,,,
03/13/2016 1240,8,8.93,9.7,237,,,,,,
03/13/2016 1250,8.2,9.15,9.95,239,,,,,,
03/13/2016 1300,7.7,8.59,9.34,242,,,,,,
03/13/2016 1310,7.7,8.59,9.34,236,,,,,,
03/13/2016 1320,7.7,8.59,9.34,234,,,,,,
03/13/2016 1330,7.5,8.37,9.1,239,,,,,,
03/13/2016 1340,7.5,8.37,9.1,236,,,,,,
03/13/2016 1350,7.1,7.93,8.61,238,,,,,,
03/13/2016 1400,7.4,8.26,8.98,233,,,,,,
03/13/2016 1410,7,7.81,8.49,242,,,,,,
03/13/2016 1420,7,7.81,8.49,239,,,,,,
03/13/2016 1430,6.9,7.7,8.37,241,,,,,,
03/13/2016 1440,6.8,7.59,8.25,238,,,,,,
03/13/2016 1450,6.4,7.14,7.76,238,,,,,,
03/13/2016 1500,6.5,7.26,7.88,238,,,,,,
03/13/2016 1510,6.5,7.26,7.88,236,,,,,,
03/13/2016 1520,6.3,7.03,7.64,235,,,,,,
03/13/2016 1530,5.9,6.59,7.16,240,,,,,,
03/13/2016 1540,5.9,6.59,7.16,240,,,,,,
03/13/2016 1550,5.8,6.47,7.04,239,,,,,,
03/13/2016 1600,6.1,6.81,7.4,238,,,,,,
03/13/2016 1610,6,6.7,7.28,236,,,,,,
03/13/2016 1620,6.2,6.92,7.52,237,,,,,,
03/13/2016 1630,6.3,7.03,7.64,238,,,,,,
03/13/2016 1640,6.3,7.03,7.64,243,,,,,,
03/13/2016 1650,6.9,7.7,8.37,238,,,,,,
03/13/2016 1700,6.7,7.48,8.13,236,,,,,,
03/13/2016 1710,6.4,7.14,7.76,237,,,,,,
03/13/2016 1720,6.2,6.92,7.52,237,,,,,,
03/13/2016 1730,6.4,7.14,7.76,232,,,,,,
03/13/2016 1740,6.2,6.92,7.52,235,,,,,,
03/13/2016 1750,6.5,7.26,7.88,231,,,,,,
03/13/2016 1800,6.3,7.03,7.64,228,,,,,,
03/13/2016 1810,6.2,6.92,7.52,225,,,,,,
03/13/2016 1820,6.3,7.03,7.64,226,,,,,,
03/13/2016 1830,6.3,7.03,7.64,236,,,,,,
03/13/2016 1840,5.8,6.47,7.04,229,,,,,,
03/13/2016 1850,5.4,6.03,6.55,230,,,,,,
03/13/2016 1900,5.8,6.47,7.04,224,,,,,,
03/13/2016 1910,5.7,6.36,6.91,223,,,,,,
03/13/2016 1920,6.1,6.81,7.4,213,,,,,,
03/13/2016 1930,6.5,7.26,7.88,219,,,,,,
03/13/2016 1940,7.3,8.15,8.86,217,,,,,,
03/13/2016 1950,7.1,7.93,8.61,213,,,,,,
03/13/2016 2000,7.8,8.71,9.46,209,,,,,,
03/13/2016 2010,8.5,9.49,10.31,214,,,,,,
03/13/2016 2020,8.5,9.49,10.31,216,,,,,,
