DateTime,AVGPD/A048W,DOMPD/A048W,WVHGT/A048W,WWHGT/A048W,WWPD/A048W,,,,,,,,
08/29/2018 1240,6.01,6.67,0.56,0.14,3,,,,,,,,
08/29/2018 1340,6.07,7.14,0.58,0.14,3.4,,,,,,,,
08/29/2018 1440,6.03,7.14,0.59,0.14,3.7,,,,,,,,
08/29/2018 1540,6.15,7.14,0.6,0.13,3.4,,,,,,,,
08/29/2018 1640,6.13,7.14,0.62,0.12,3.8,,,,,,,,
08/29/2018 1740,6.12,6.67,0.6,0.13,3.8,,,,,,,,
08/29/2018 1840,6.09,6.25,0.6,0.13,3.8,,,,,,,,
08/29/2018 1940,6.02,6.67,0.57,0.13,2.4,,,,,,,,
08/29/2018 2040,6.06,6.67,0.56,0.12,4,,,,,,,,
08/29/2018 2140,5.98,6.67,0.56,0.13,4,,,,,,,,
08/29/2018 2240,6.04,6.67,0.59,0.13,3.8,,,,,,,,
08/29/2018 2340,5.91,6.67,0.56,0.13,3.1,,,,,,,,
08/30/2018 0040,6.13,7.14,0.59,0.14,4,,,,,,,,
08/30/2018 0140,5.96,6.67,0.55,0.15,3.8,,,,,,,,
08/30/2018 0240,5.93,6.67,0.55,0.13,3.3,,,,,,,,
08/30/2018 0340,5.97,6.67,0.55,0.13,4,,,,,,,,
08/30/2018 0440,6.02,6.67,0.56,0.14,3.6,,,,,,,,
08/30/2018 0540,5.94,6.25,0.54,0.13,4,,,,,,,,
08/30/2018 0640,6.15,6.67,0.58,0.13,4,,,,,,,,
08/30/2018 0740,6.15,6.25,0.58,0.13,3.8,,,,,,,,
08/30/2018 0840,6.26,6.67,0.61,0.13,4,,,,,,,,
08/30/2018 0940,6.11,6.67,0.55,0.13,4,,,,,,,,
08/30/2018 1040,6.2,7.14,0.61,0.12,3.4,,,,,,,,
08/30/2018 1140,6.2,7.14,0.6,0.13,3.8,,,,,,,,
08/30/2018 1240,6.13,6.67,0.55,0.14,4,,,,,,,,
08/30/2018 1340,6.03,6.25,0.59,0.13,3.8,,,,,,,,
08/30/2018 1440,6.24,8.33,0.61,0.15,4,,,,,,,,
08/30/2018 1540,5.91,5.88,0.56,0.15,3.6,,,,,,,,
08/30/2018 1640,6.03,8.33,0.57,0.15,3.8,,,,,,,,
08/30/2018 1740,6.22,8.33,0.59,0.13,3.7,,,,,,,,
08/30/2018 1840,6.21,7.69,0.56,0.13,3.4,,,,,,,,
08/30/2018 1940,6.41,7.14,0.63,0.14,4,,,,,,,,
08/30/2018 2040,6.58,7.14,0.61,0.11,3.6,,,,,,,,
08/30/2018 2140,6.37,7.14,0.58,0.12,3.4,,,,,,,,
08/30/2018 2240,6.29,7.14,0.6,0.13,3.8,,,,,,,,
08/30/2018 2340,6.44,7.14,0.66,0.12,4,,,,,,,,
08/31/2018 0040,6.43,7.14,0.64,0.11,3.6,,,,,,,,
08/31/2018 0140,6.11,6.67,0.6,0.14,4,,,,,,,,
08/31/2018 0240,6.07,7.14,0.65,0.14,3.6,,,,,,,,
08/31/2018 0340,6.18,7.69,0.66,0.14,4,,,,,,,,
08/31/2018 0440,6.15,7.69,0.62,0.14,3.6,,,,,,,,
08/31/2018 0540,6.32,7.69,0.65,0.13,4,,,,,,,,
08/31/2018 0640,6.4,7.69,0.67,0.14,3.6,,,,,,,,
08/31/2018 0740,6.21,6.67,0.68,0.14,3.7,,,,,,,,
08/31/2018 0840,6.33,6.67,0.68,0.14,3.7,,,,,,,,
08/31/2018 0940,6.39,8.33,0.66,0.15,2.9,,,,,,,,
08/31/2018 1040,6.54,7.69,0.68,0.14,3.6,,,,,,,,
08/31/2018 1140,6.68,6.67,0.73,0.14,3.6,,,,,,,,
08/31/2018 1240,6.62,7.14,0.7,0.13,3.4,,,,,,,,
08/31/2018 1340,6.32,7.14,0.69,0.15,3.3,,,,,,,,
08/31/2018 1440,6.56,7.69,0.75,0.16,3.8,,,,,,,,
08/31/2018 1540,6.04,7.14,0.7,0.18,4,,,,,,,,
08/31/2018 1640,6.17,7.69,0.78,0.18,2.4,,,,,,,,
08/31/2018 1740,6.06,7.14,0.81,0.21,4,,,,,,,,
08/31/2018 1840,6.15,7.69,0.85,0.22,2.5,,,,,,,,
08/31/2018 1940,6.3,8.33,0.84,0.18,2.4,,,,,,,,
08/31/2018 2040,6.2,7.14,0.86,0.21,2.6,,,,,,,,
08/31/2018 2140,6.13,8.33,0.84,0.21,4,,,,,,,,
08/31/2018 2240,6.07,7.69,0.88,0.25,3.8,,,,,,,,
08/31/2018 2340,5.92,8.33,0.87,0.24,2.7,,,,,,,,
09/01/2018 0040,6.09,7.14,0.87,0.23,2.7,,,,,,,,
09/01/2018 0140,6.3,7.69,0.9,0.22,2.9,,,,,,,,
09/01/2018 0240,6.38,9.09,0.92,0.22,2.9,,,,,,,,
09/01/2018 0340,6.29,8.33,0.87,0.22,2.7,,,,,,,,
09/01/2018 0440,6.12,8.33,0.79,0.21,2.9,,,,,,,,
09/01/2018 0540,6.44,9.09,0.92,0.21,2.9,,,,,,,,
09/01/2018 0640,6.47,8.33,0.82,0.19,2.7,,,,,,,,
09/01/2018 0740,6.51,8.33,0.86,0.2,2.9,,,,,,,,
09/01/2018 0840,6.55,8.33,0.88,0.21,4,,,,,,,,
09/01/2018 0940,6.7,8.33,0.91,0.21,2.9,,,,,,,,
09/01/2018 1040,6.19,8.33,0.81,0.22,2.9,,,,,,,,
09/01/2018 1140,6.23,9.09,0.84,0.22,2.9,,,,,,,,
09/01/2018 1240,6.65,9.09,0.93,0.21,2.9,,,,,,,,
09/01/2018 1340,6.35,8.33,0.88,0.22,2.7,,,,,,,,
09/01/2018 1440,5.94,8.33,0.85,0.27,2.6,,,,,,,,
09/01/2018 1540,5.57,8.33,0.86,0.31,2.9,,,,,,,,
09/01/2018 1640,5.65,7.69,0.88,0.33,3,,,,,,,,
09/01/2018 1740,5.51,8.33,0.92,0.36,3.1,,,,,,,,
09/01/2018 1840,5.61,7.69,0.87,0.37,3.1,,,,,,,,
09/01/2018 1940,5.38,8.33,0.93,0.38,3.2,,,,,,,,
09/01/2018 2040,5.41,8.33,0.79,0.34,3.3,,,,,,,,
09/01/2018 2140,5.36,8.33,0.81,0.36,2.9,,,,,,,,
09/01/2018 2240,5.46,7.14,0.82,0.34,2.9,,,,,,,,
09/01/2018 2340,5.55,8.33,0.84,0.35,3.2,,,,,,,,
09/02/2018 0040,5.56,7.69,0.86,0.4,3.4,,,,,,,,
09/02/2018 0140,5.12,8.33,0.84,0.43,3.4,,,,,,,,
