DateTime,WSPD1/A048E,WSPD11/A048E,WSPD12/A048E,WDIR1/A048E,,,,,,,,
08/20/2018 1800,3.2,3.46,3.66,248,,,,,,,,
08/20/2018 1810,2.9,3.14,3.31,231,,,,,,,,
08/20/2018 1820,2.7,2.92,3.08,236,,,,,,,,
08/20/2018 1830,2.8,3.03,3.2,235,,,,,,,,
08/20/2018 1840,2.5,2.7,2.85,229,,,,,,,,
08/20/2018 1850,2.5,2.7,2.85,230,,,,,,,,
08/20/2018 1900,2.8,3.03,3.2,239,,,,,,,,
08/20/2018 1910,2.7,2.92,3.08,242,,,,,,,,
08/20/2018 1920,2.8,3.03,3.2,238,,,,,,,,
08/20/2018 1930,2,2.16,2.27,223,,,,,,,,
08/20/2018 1940,2.2,2.37,2.5,229,,,,,,,,
08/20/2018 1950,2.7,2.92,3.08,210,,,,,,,,
08/20/2018 2000,2.5,2.7,2.85,193,,,,,,,,
08/20/2018 2010,3.1,3.35,3.55,205,,,,,,,,
08/20/2018 2020,2.7,2.92,3.08,211,,,,,,,,
08/20/2018 2030,2.8,3.03,3.2,201,,,,,,,,
08/20/2018 2040,3.1,3.35,3.55,202,,,,,,,,
08/20/2018 2050,2.7,2.92,3.08,208,,,,,,,,
08/20/2018 2100,2.5,2.7,2.85,210,,,,,,,,
08/20/2018 2110,3,3.24,3.43,195,,,,,,,,
08/20/2018 2120,3.1,3.35,3.55,192,,,,,,,,
08/20/2018 2130,3.3,3.57,3.78,194,,,,,,,,
08/20/2018 2140,3.2,3.46,3.66,190,,,,,,,,
08/20/2018 2150,2.9,3.14,3.31,189,,,,,,,,
08/20/2018 2200,3,3.24,3.43,188,,,,,,,,
08/20/2018 2210,3.4,3.68,3.9,178,,,,,,,,
08/20/2018 2220,3.4,3.68,3.9,174,,,,,,,,
08/20/2018 2230,3.2,3.46,3.66,178,,,,,,,,
08/20/2018 2240,3,3.24,3.43,181,,,,,,,,
08/20/2018 2250,3.1,3.35,3.55,174,,,,,,,,
08/20/2018 2300,3.2,3.46,3.66,170,,,,,,,,
08/20/2018 2310,3.1,3.35,3.55,164,,,,,,,,
08/20/2018 2320,3.5,3.79,4.01,163,,,,,,,,
08/20/2018 2330,3.4,3.68,3.9,165,,,,,,,,
08/20/2018 2340,3.3,3.57,3.78,162,,,,,,,,
08/20/2018 2350,3.3,3.57,3.78,157,,,,,,,,
08/21/2018 0000,3.2,3.46,3.66,166,,,,,,,,
08/21/2018 0010,3.4,3.68,3.9,164,,,,,,,,
08/21/2018 0020,3.3,3.57,3.78,154,,,,,,,,
08/21/2018 0030,3.5,3.79,4.01,165,,,,,,,,
08/21/2018 0040,3.8,4.12,4.36,164,,,,,,,,
08/21/2018 0050,3.6,3.9,4.13,162,,,,,,,,
08/21/2018 0100,3.5,3.79,4.01,169,,,,,,,,
08/21/2018 0110,3.8,4.12,4.36,174,,,,,,,,
